mid,title
13,Forrest Gump
24,Kill Bill: Vol. 1
79,英雄
82,Miami Vice
87,Indiana Jones and the Temple of Doom
604,The Matrix Reloaded
746,The Last Emperor
843,花样年华
1273,TMNT
146,卧虎藏龙
285,Pirates of the Caribbean: At World's End
393,Kill Bill: Vol. 2
1436,??
1439,Anna and the King
1499,Teenage Mutant Ninja Turtles III
1735,The Mummy: Tomb of the Dragon Emperor
605,The Matrix Revolutions
672,Harry Potter and the Chamber of Secrets
673,Harry Potter and the Prisoner of Azkaban
674,Harry Potter and the Goblet of Fire
675,Harry Potter and the Order of the Phoenix
767,Harry Potter and the Half-Blood Prince
1904,Memoirs of a Geisha
2008,Wu Ji
2111,巴尔扎克与小裁缝
844,2046
944,Lethal Weapon 4
1248,Hannibal Rising
1494,满城尽带黄金甲
1729,The Forbidden Kingdom
2314,The Long Run
2463,暗战
2644,最佳拍档
1934,Shakespeare in Love
1996,Lara Croft Tomb Raider: The Cradle of Life
2085,Romeo Must Die
2109,Rush Hour
2137,风云雄霸天下
2645,Zuijia paidang daxian shentong
2646,Zuijia paidang zhi nuhuang miling
2647,Zuijia paidang zhi qianli jiu chaipo
2648,新最佳拍档
2140,Kiss of the Dragon
2270,Stardust
4108,The Transporter
4588,色?戒
4961,Mimic
5174,Rush Hour 3
7549,霍元甲
8341,Samsara
8435,A Cock and Bull Story
8584,Shanghai Noon
9048,倩女幽魂III：道道道
5175,Rush Hour 2
6038,Shanghai Knights
6972,Australia
7346,文雀
8393,The Gods Must Be Crazy
8697,我是谁
9053,DOA: Dead or Alive
9056,警察故事
9060,饺子
8943,一半海水一半火焰
9050,倩女幽魂II人间道
9404,警察故事4之简单任务
9449,The Borrowers
9455,The Corruptor
9460,黑侠
9461,Enter the Dragon
9470,功夫
9594,Double Impact
10034,High Heels and Low Lifes
10044,福星高照
9471,Charlie's Angels: Full Throttle
9502,Kung Fu Panda
9550,十面埋伏
9581,全职杀手
9696,Koroshiya 1
10109,小白龙情海翻波
10204,Around the World in 80 Days
10222,Kickboxer
10275,Shao Lin Si
10348,霹雳火
10404,大红灯笼高高挂
10027,Unleashed
10257,Chin Kei Bin 2 - Fa Tou Tai Kam
10265,韩城攻略
10387,荆轲刺秦王
10431,War
10451,饮食男女
10616,Sat sau ji wong
10617,黄飞鸿
10619,黄飞鸿之三狮王争霸
10610,The Medallion
10618,黄飞鸿之二男儿当自强
